bgt_type,linestring,x_min,y_max,x_max,y_min
tram,"[[119765.388, 485147.421], [119775.163, 485152.932]]",119765.388,485152.932,119775.163,485147.421
tram,"[[119680.324, 485113.99], [119677.63, 485112.843]]",119677.63,485113.99,119680.324,485112.843
tram,"[[119747.975, 485141.292], [119746.202, 485140.379]]",119746.202,485141.292,119747.975,485140.379
tram,"[[119756.156, 485141.914], [119759.591, 485143.967]]",119756.156,485143.967,119759.591,485141.914
tram,"[[119812.397, 485174.0], [119810.787, 485173.314]]",119810.787,485174.0,119812.397,485173.314
tram,"[[119804.009, 485166.599], [119813.208, 485170.519]]",119804.009,485170.519,119813.208,485166.599
tram,"[[119814.686, 485171.149], [119816.065, 485171.738], [119817.44, 485172.338]]",119814.686,485172.338,119817.44,485171.149
tram,"[[119813.208, 485170.519], [119814.686, 485171.149]]",119813.208,485171.149,119814.686,485170.519
tram,"[[119759.591, 485143.967], [119761.95, 485145.377]]",119759.591,485145.377,119761.95,485143.967
tram,"[[119684.008, 485115.548], [119682.165, 485114.772], [119680.324, 485113.99]]",119680.324,485115.548,119684.008,485113.99
tram,"[[119788.807, 485163.739], [119780.734, 485159.811], [119772.782, 485155.646]]",119772.782,485163.739,119788.807,485155.646
tram,"[[119752.147, 485143.629], [119750.505, 485142.677]]",119750.505,485143.629,119752.147,485142.677
tram,"[[119724.41, 485131.131], [119714.847, 485127.48]]",119714.847,485131.131,119724.41,485127.48
tram,"[[119815.153, 485175.185], [119813.777, 485174.589], [119812.397, 485174.0]]",119812.397,485175.185,119815.153,485174.0
tram,"[[119825.303, 485179.959], [119821.334, 485178.05]]",119821.334,485179.959,119825.303,485178.05
